id,song_name,class,label,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,Absolutely - Story of A Girl.mp3,sad,1,129.1992188,159877,1268.865079,0.425320782,0.289704251,0.083928553,0.488411633,0.275777219,0.076053074,0.259517351,0.126428153,0.015984078,10.80452964,52.99969193,2808.967345,2.324514489,23.12582986,534.8040068,0.012688937,2.348498004,5.515442877,6.097115994,1.973801136,3.895890951,3355.923318,825.28016,681087.3424,2839.385726,282.88856,80025.93736,20.00986003,6.837942054,46.75745153,6770.39656,1060.310894,1124259.193,3.068247328,3.49566783,12.21969358,0.007194285,0.071367416,0.005093308,0.174273512,0.092381368,0.008534317,-0.000003,0.169203728,0.028629901,0.00000556,0.099144682,0.009829667,3.24614966,1.885734819,3.555995808
2,Ace - Futureland.mp3,happy,2,99.38401442,121594,1253.546392,0.487376803,0.268670374,0.07218377,0.44053569,0.303527672,0.092129048,0.238127465,0.163182854,0.026628644,16.9294511,91.41765116,8357.186944,7.213594738,25.7773076,664.4695872,0.00664681,1.732102757,3.00017996,7.45171833,2.472208023,6.111813068,2884.310298,1000.080209,1000160.423,2778.911699,549.9270779,302419.791,18.09058591,6.242264389,38.9658647,6208.412459,2138.990993,4575282.467,3.751397711,4.212932682,17.74880178,-0.019074338,0.083522546,0.006976016,0.136353862,0.078736655,0.006199461,0.0000187,0.206915513,0.042814031,-0.000077,0.115424842,0.013322894,3.989188209,1.766115307,3.119163277
3,Alan Walker - Faded.mp3,sad,1,89.10290948,113611,1291.034091,0.292934478,0.29569479,0.087435409,0.406712844,0.288187825,0.083052223,0.226562938,0.178892617,0.032002568,9.843200113,75.09972899,5639.969295,2.453629006,45.42074375,2063.043963,0.005337784,2.206856993,4.870217787,5.226909637,2.562407494,6.565932274,1927.612816,1035.043044,1071314.103,2174.151882,835.8544316,698652.6308,21.74016032,5.647970149,31.8995668,4051.608834,2482.790129,6164246.825,2.098193939,2.550848768,6.506829439,-0.002768046,0.092026768,0.008468926,0.084333957,0.049829604,0.002482989,-0.0000203,0.184177279,0.033921268,-0.00000326,0.055471476,0.003077085,3.423782313,1.922332842,3.695363555
4,All American Rejects - Stab my back.mp3,angry,4,135.9991776,173919,1288.288889,0.402927771,0.293648941,0.086229701,0.511188687,0.267794641,0.07171397,0.261786125,0.121660832,0.014801358,16.47518906,86.45292344,7474.107971,6.878092703,23.32246751,543.9374908,0.005724838,2.711800544,7.353862193,7.291646957,2.602593184,6.773491859,2794.75673,680.0011967,462401.6275,2697.979678,303.4514805,92082.80102,19.93235094,6.390375704,40.83690164,5915.443397,1193.495011,1424430.34,3.739061441,4.257751352,18.12844658,0.009007424,0.059399822,0.003528339,0.132281324,0.057834691,0.003344851,-0.00000244,0.196422249,0.038581699,-0.000103147,0.135027885,0.018232528,2.917587302,1.705446393,2.908547399
5,B.O.B - Soo Good.mp3,happy,2,86.1328125,108756,1279.482353,0.421205622,0.294016598,0.08644576,0.507742092,0.279095371,0.077894226,0.254880185,0.13553385,0.018369425,20.03077151,147.5136999,21760.29165,4.95562076,29.67170653,880.4101682,0.013385615,2.746273852,7.542020071,7.625406742,3.578936338,12.80878448,2708.439843,953.862517,909853.7014,2623.42318,734.9657335,540174.6295,19.42979135,6.589739629,43.42466838,5880.66444,2082.871221,4338352.525,3.594682842,4.352430408,18.94365045,-0.00407983,0.070444611,0.004962443,0.11792748,0.063363736,0.004014963,-0.00000228,0.199292004,0.039717302,-0.00010311,0.165504798,0.027391838,5.263963719,2.912277593,8.481360778
6,Billy Talent - Fallen Leaves.mp3,happy,2,123.046875,106506,1054.514851,0.408958424,0.289546437,0.083837139,0.522171574,0.279307258,0.078012544,0.259815229,0.125814864,0.01582938,13.57571267,81.45232998,6634.482058,4.532875529,26.8421505,720.5010435,0.010696634,2.909786962,8.466860165,6.407421589,2.945688963,8.677083015,2862.122038,629.6575466,396468.626,2583.918199,409.17947,167427.8387,19.68229392,7.402166278,54.7920656,5834.710552,1155.844456,1335976.406,3.299955133,3.889061712,15.124801,0.016530577,0.066490072,0.00442093,0.146345676,0.058125786,0.003378607,-0.000019,0.177508309,0.031509198,-0.000155616,0.122583307,0.015026667,2.402104308,1.407299272,1.980491241
7,Billy Talent - Red Flag.mp3,happy,2,92.28515625,102169,1201.988235,0.472775697,0.291974877,0.085249329,0.575409757,0.277486308,0.076998651,0.266335384,0.111349883,0.012398796,16.15352587,109.9906259,12097.93778,6.342557104,22.41891883,502.6079216,0.010971336,2.849928707,8.122093634,7.119541168,2.820424318,7.95479393,3066.501669,790.8160532,625390.03,2778.984692,298.3711979,89025.37171,18.74509054,6.857769624,47.02900422,6338.161674,1135.978382,1290446.884,3.510186788,4.073010511,16.58941462,0.005264146,0.06428996,0.004133199,0.158338045,0.079177701,0.006269108,0.00000909,0.163210422,0.02663764,0.000865846,0.161110818,0.025956694,1.733369615,1.053179817,1.109187727
8,Billy Talent - Viking Death March.mp3,angry,4,143.5546875,183008,1279.776224,0.466557562,0.282420875,0.079761551,0.584324635,0.247357228,0.061185598,0.268748724,0.10539192,0.011107457,17.10669841,93.67338601,8774.703246,6.364959232,26.87810473,722.4325138,0.013899837,2.4043216,5.780762356,7.347826958,2.754977942,7.589903355,2586.263822,584.5253864,341669.9274,2423.44088,399.0401254,159233.0217,19.00914569,7.564149979,57.21636491,5332.755254,1081.926165,1170564.226,3.989431764,4.433234437,19.65356757,0.004083563,0.050217035,0.002521751,0.13435633,0.05160216,0.002662783,-0.0000096,0.182128429,0.033170767,-0.000246938,0.139302582,0.01940521,6.849886621,3.006898956,9.041441332
9,Black Eyed Peas - Lets Get It Started.mp3,happy,2,103.359375,129354,1306.606061,0.402474583,0.312443126,0.097620707,0.466007204,0.296977642,0.08819572,0.260350916,0.124702582,0.015550734,12.99421651,101.599269,10322.41146,0.792898904,41.49389062,1721.742959,0.011871489,3.554022516,12.63107604,5.909911633,3.422062159,11.7105093,2644.788328,1153.020189,1329455.556,2635.541868,503.5351806,253547.6781,19.97006123,6.920022783,47.88671532,5501.200068,2037.249226,4150384.408,2.604742209,3.678209832,13.52922757,-0.003095443,0.071901439,0.005169817,0.116087733,0.096375337,0.009288206,0.0000023,0.14649725,0.021461442,-0.0000678,0.144702166,0.020938715,4.447782313,2.376100069,5.64585154
10,Blue Stahli - Ultranumb.mp3,angry,4,123.046875,147270,1248.050847,0.535376136,0.263895309,0.069640734,0.554991266,0.262331103,0.068817608,0.265375858,0.113617724,0.012908987,10.95176986,71.0129774,5042.84296,3.435042903,31.84942408,1014.385814,0.013709524,2.150124998,4.623037509,5.561200142,3.0498631,9.301665306,2938.003397,690.8869368,477324.7595,2600.273189,502.5470182,252553.5055,17.93798924,7.466678433,55.75128682,5979.384677,1419.856955,2015993.771,2.958585796,3.678379398,13.530475,-0.006745901,0.057526558,0.003309305,0.146447716,0.065800428,0.004329696,0.000169703,0.166842565,0.02783644,0.001528302,0.095579937,0.009135525,2.813097506,1.338913305,1.792688838
